Flow Duration,Flow Bytes/s,Flow Packets/s,Packet Length Mean,Label,Seconds_To_Failure
39.0,10757460.473129902,502766.7327142532,5.5853413364843245,BENIGN,1000.0
29.0,14961577.48675752,1655596.5077411132,5.543006951866939,BENIGN,999.0
15.0,13552543.68163629,712803.1579081889,6.166866660550921,BENIGN,998.0
43.0,9063977.84927924,143498.26745462848,6.323309429820718,BENIGN,997.0
8.0,13843538.583197443,392203.18436925905,6.282015334932967,BENIGN,996.0
21.0,1074200.0895664757,524867.4255429914,6.043805727866237,BENIGN,995.0
39.0,14650940.281231996,1918913.4869997157,5.599866821136178,BENIGN,994.0
19.0,7870482.909622982,1188778.7149686136,6.188044443836014,BENIGN,993.0
23.0,11120545.35270486,1872188.4069048841,5.741888883554146,BENIGN,992.0
11.0,12492060.624146936,1192810.3659435874,6.411068702767384,BENIGN,991.0
11.0,11058401.791711751,1010773.4362619184,6.338265359545705,BENIGN,990.0
24.0,8490514.248628747,696082.6132687825,6.209382967087391,BENIGN,989.0
36.0,7672672.777769768,1252104.7944234137,6.44884595583113,BENIGN,988.0
40.0,12740155.821836747,364476.2467733067,5.531421821511273,BENIGN,987.0
24.0,3871085.8420924274,1806697.0918561413,6.236200425060762,BENIGN,986.0
3.0,14551916.93105928,1675731.569768439,5.830242779336405,BENIGN,985.0
22.0,10953334.703714475,703309.7509658004,6.406065885686365,BENIGN,984.0
2.0,3793096.9827364767,1910315.3024424592,5.766675196661978,BENIGN,983.0
24.0,11307460.571778834,1667881.4580895794,6.224856499315017,BENIGN,982.0
44.0,8417760.324535634,1365983.0830865754,6.377647019650781,BENIGN,981.0
30.0,10901221.339022223,331347.6311380221,5.541656818382682,BENIGN,980.0
38.0,11748913.020199744,1008644.6437913374,5.897647579592036,BENIGN,979.0
2.0,2222062.514255456,1061604.3542088266,6.262309032021939,BENIGN,978.0
21.0,8085455.389030858,541847.5808942223,5.954918889507587,BENIGN,977.0
33.0,14048200.791597078,251934.2492826737,5.767252629793595,BENIGN,976.0
12.0,5488990.6902332,1575774.897896216,5.71980534882319,BENIGN,975.0
22.0,9314363.365810584,331866.59903635056,5.631518266916378,BENIGN,974.0
44.0,6169226.741138546,1229152.4260673719,6.357129559856283,BENIGN,973.0
25.0,7359751.611067395,1879253.430378955,6.075355403251556,BENIGN,972.0
49.0,8680443.651134145,1764599.865936281,5.576384944991456,BENIGN,971.0
27.0,8684907.718445681,627729.9851235962,5.882580323570635,BENIGN,970.0
42.0,3824226.4726233017,1717752.4113474041,5.86773365080511,BENIGN,969.0
28.0,10584001.670317667,100631.76162892987,5.681739190709463,BENIGN,968.0
16.0,2230153.557397195,133606.83826518874,5.935507625472191,BENIGN,967.0
15.0,2943546.828188285,1244851.0113014434,5.832099365393137,BENIGN,966.0
47.0,1037952.5918006154,793116.616374606,5.8418037054921825,BENIGN,965.0
44.0,2633744.8979835385,834275.5982023795,6.239026557787959,BENIGN,964.0
3.0,7624326.814726491,1172438.0722898766,5.723263385505196,BENIGN,963.0
37.0,9485426.33478174,464386.6656245351,6.141859958855355,BENIGN,962.0
7.0,12120052.299530474,502335.16626440885,6.070649623880935,BENIGN,961.0
21.0,2493789.5015881048,1020743.0153358429,6.068092512337867,BENIGN,960.0
9.0,12910184.440230366,1533081.7342533397,6.163007346141776,BENIGN,959.0
39.0,11443643.357682053,1277045.7276744165,6.048382036195654,BENIGN,958.0
18.0,6719256.101102836,664974.5916499939,6.3792551148463845,BENIGN,957.0
4.0,14061132.939399365,917640.6372669503,6.17558009195026,BENIGN,956.0
25.0,14873012.670403467,424263.041244997,6.0469632513713885,BENIGN,955.0
14.0,3870025.3407453215,241796.64724045526,6.3297631202876445,BENIGN,954.0
9.0,6309200.189493205,1587122.4774138834,6.106146564933479,BENIGN,953.0
26.0,13970291.930255957,604236.0774575698,5.791144247785179,BENIGN,952.0
2.0,11102351.71051788,437756.1369173716,5.707094918176571,BENIGN,951.0
20.0,1673325.0154972277,1414074.3055817068,5.652327785662679,BENIGN,950.0
28.0,11941202.74451981,1274298.1811456534,6.399455212546101,BENIGN,949.0
47.0,12591172.420484887,1303060.2894255817,6.210135431798066,BENIGN,948.0
7.0,11507026.94671439,534899.7492085658,6.437378438164321,BENIGN,947.0
44.0,12193519.832873218,542026.5232690938,6.103291805714943,BENIGN,946.0
8.0,12551857.473699162,519524.99659271433,5.973400881494912,BENIGN,945.0
47.0,3609669.8150340174,430129.93175835954,5.559716488970889,BENIGN,944.0
